subcategory,day,price
Baño,2025-02-10,11177.01
Baño,2025-02-11,11177.01
Baño,2025-02-12,11177.01
Baño,2025-02-13,11177.01
Baño,2025-02-14,11177.01
Baño,2025-02-15,11177.01
Baño,2025-02-16,11177.01
Baño,2025-02-17,11177.01
Baño,2025-02-18,11177.01
Baño,2025-02-19,11177.01
Baño,2025-02-20,11177.01
Baño,2025-02-21,11177.01
Baño,2025-02-22,11177.01
Baño,2025-02-23,11177.01
Baño,2025-02-24,11177.01
Baño,2025-02-25,11177.01
Baño,2025-02-26,11177.01
Baño,2025-02-27,11177.01
Baño,2025-02-28,11177.01
Baño,2025-03-01,11096.11
Baño,2025-03-02,11096.11
Baño,2025-03-03,11096.11
Baño,2025-03-04,11096.11
Baño,2025-03-05,10006.043333333333
Baño,2025-03-06,10006.043333333333
Baño,2025-03-11,10153.152857142859
Baño,2025-03-12,10153.152857142859
Baño,2025-03-13,10153.152857142859
Cocina,2025-02-10,10704.316052631579
Cocina,2025-02-11,10704.316052631579
Cocina,2025-02-12,10212.55675
Cocina,2025-02-13,10261.156923076924
Cocina,2025-02-14,10212.55675
Cocina,2025-02-15,11185.303846153845
Cocina,2025-02-16,11185.303846153845
Cocina,2025-02-17,11254.358536585367
Cocina,2025-02-18,11003.630232558138
Cocina,2025-02-19,11003.630232558138
Cocina,2025-02-20,11003.630232558138
Cocina,2025-02-21,11114.727727272728
Cocina,2025-02-22,11114.727727272728
Cocina,2025-02-23,10202.030238095238
Cocina,2025-02-24,10202.030238095238
Cocina,2025-02-25,10202.030238095238
Cocina,2025-02-26,10202.030238095238
Cocina,2025-02-27,10202.030238095238
Cocina,2025-02-28,10202.030238095238
Cocina,2025-03-01,10142.362558139535
Cocina,2025-03-02,10308.378181818181
Cocina,2025-03-03,10178.528372093024
Cocina,2025-03-04,9681.11738095238
Cocina,2025-03-05,9681.11738095238
Cocina,2025-03-06,10237.630227272726
Cocina,2025-03-11,10281.306744186046
Cocina,2025-03-12,10072.222045454546
Cocina,2025-03-13,9876.35025
Cuidado Corporal,2025-02-10,20147.396666666667
Cuidado Corporal,2025-02-11,20147.396666666667
Cuidado Corporal,2025-02-12,20147.396666666667
Cuidado Corporal,2025-02-13,20147.396666666667
Cuidado Corporal,2025-02-14,20147.396666666667
Cuidado Corporal,2025-02-15,20147.396666666667
Cuidado Corporal,2025-02-16,20147.396666666667
Cuidado Corporal,2025-02-17,20387.593333333334
Cuidado Corporal,2025-02-18,20387.593333333334
Cuidado Corporal,2025-02-19,20387.593333333334
Cuidado Corporal,2025-02-20,20387.593333333334
Cuidado Corporal,2025-02-21,20387.593333333334
Cuidado Corporal,2025-02-22,20387.593333333334
Cuidado Corporal,2025-02-23,20387.593333333334
Cuidado Corporal,2025-02-24,20387.593333333334
Cuidado Corporal,2025-02-25,20387.593333333334
Cuidado Corporal,2025-02-26,20387.593333333334
Cuidado Corporal,2025-02-27,20387.593333333334
Cuidado Corporal,2025-02-28,20387.593333333334
Cuidado Corporal,2025-03-01,20387.593333333334
Cuidado Corporal,2025-03-02,20387.593333333334
Cuidado Corporal,2025-03-03,20387.593333333334
Cuidado Corporal,2025-03-04,20387.593333333334
Cuidado Corporal,2025-03-05,20387.593333333334
Cuidado Corporal,2025-03-06,20387.593333333334
Cuidado Corporal,2025-03-11,22589.17818181818
Cuidado Corporal,2025-03-12,22589.17818181818
Cuidado Corporal,2025-03-13,22589.17818181818
Hogar,2025-02-10,15133.721111111112
Hogar,2025-02-11,17506.092857142856
Hogar,2025-02-12,17020.343448275864
Hogar,2025-02-13,17020.343448275864
Hogar,2025-02-14,16550.433666666668
Hogar,2025-02-15,16550.433666666668
Hogar,2025-02-16,16550.433666666668
Hogar,2025-02-17,16550.433666666668
Hogar,2025-02-18,19303.412424242422
Hogar,2025-02-19,16550.433666666668
Hogar,2025-02-20,16550.433666666668
Hogar,2025-02-21,16550.433666666668
Hogar,2025-02-22,16550.433666666668
Hogar,2025-02-23,16811.608965517244
Hogar,2025-02-24,19218.721212121214
Hogar,2025-02-25,16550.433666666668
Hogar,2025-02-26,20331.216
Hogar,2025-02-27,20331.216
Hogar,2025-02-28,17570.354642857143
Hogar,2025-03-01,18733.175333333333
Hogar,2025-03-02,18733.175333333333
Hogar,2025-03-03,18733.175333333333
Hogar,2025-03-04,18313.468064516128
Hogar,2025-03-05,18313.468064516128
Hogar,2025-03-06,18993.26090909091
Hogar,2025-03-11,18690.879772727272
Hogar,2025-03-12,18690.879772727272
Hogar,2025-03-13,18690.879772727272
Implementos para limpieza,2025-02-10,37206.25
Implementos para limpieza,2025-02-11,37206.25
Implementos para limpieza,2025-02-12,37206.25
Implementos para limpieza,2025-02-13,37206.25
Implementos para limpieza,2025-02-14,37206.25
Implementos para limpieza,2025-02-15,37206.25
Implementos para limpieza,2025-02-16,37206.25
Implementos para limpieza,2025-02-17,37206.25
Implementos para limpieza,2025-02-18,37206.25
Implementos para limpieza,2025-02-19,37206.25
Implementos para limpieza,2025-02-20,37206.25
Implementos para limpieza,2025-02-21,37206.25
Implementos para limpieza,2025-02-22,37206.25
Implementos para limpieza,2025-02-23,37206.25
Implementos para limpieza,2025-02-24,37206.25
Implementos para limpieza,2025-02-25,37206.25
Implementos para limpieza,2025-02-26,37206.25
Implementos para limpieza,2025-02-27,37206.25
Implementos para limpieza,2025-02-28,37206.25
Implementos para limpieza,2025-03-01,37206.25
Implementos para limpieza,2025-03-02,37206.25
Implementos para limpieza,2025-03-03,37206.25
Implementos para limpieza,2025-03-04,37206.25
Implementos para limpieza,2025-03-05,37206.25
Implementos para limpieza,2025-03-06,37206.25
Implementos para limpieza,2025-03-11,37206.25
Implementos para limpieza,2025-03-12,37206.25
Insecticidas,2025-02-10,15633.102068965516
Insecticidas,2025-02-11,15633.102068965518
Insecticidas,2025-02-12,15633.102068965518
Insecticidas,2025-02-13,15633.102068965518
Insecticidas,2025-02-14,16448.30193548387
Insecticidas,2025-02-15,16002.789333333332
Insecticidas,2025-02-16,15364.033103448277
Insecticidas,2025-02-17,16010.369
Insecticidas,2025-02-18,15803.461724137931
Insecticidas,2025-02-19,16378.450666666668
Insecticidas,2025-02-20,15752.648275862068
Insecticidas,2025-02-21,16974.30875
Insecticidas,2025-02-22,16974.30875
Insecticidas,2025-02-23,16408.10193548387
Insecticidas,2025-02-24,16974.30875
Insecticidas,2025-02-25,16811.845161290323
Insecticidas,2025-02-26,16587.781666666666
Insecticidas,2025-02-27,15983.404814814814
Insecticidas,2025-02-28,15806.058571428572
Insecticidas,2025-03-01,15983.404814814814
Insecticidas,2025-03-02,16377.270357142857
Insecticidas,2025-03-03,16192.457931034483
Insecticidas,2025-03-04,16192.457931034483
Insecticidas,2025-03-05,15705.985714285713
Insecticidas,2025-03-06,15879.625555555556
Insecticidas,2025-03-11,15473.918235294117
Insecticidas,2025-03-12,16255.450810810813
Insecticidas,2025-03-13,15660.682857142858
Pisos y Muebles,2025-02-10,4699.2325
Pisos y Muebles,2025-02-11,4699.2325
Pisos y Muebles,2025-02-12,4699.2325
Pisos y Muebles,2025-02-13,4699.2325
Pisos y Muebles,2025-02-14,4699.2325
Pisos y Muebles,2025-02-15,4699.2325
Pisos y Muebles,2025-02-16,4699.2325
Pisos y Muebles,2025-02-17,4699.2325
Pisos y Muebles,2025-02-18,4699.2325
Pisos y Muebles,2025-02-19,4699.2325
Pisos y Muebles,2025-02-20,4871.108947368421
Pisos y Muebles,2025-02-21,4871.108947368421
Pisos y Muebles,2025-02-22,4871.108947368421
Pisos y Muebles,2025-02-23,5062.082777777778
Pisos y Muebles,2025-02-24,4871.108947368421
Pisos y Muebles,2025-02-25,5062.082777777778
Pisos y Muebles,2025-02-26,5062.082777777778
Pisos y Muebles,2025-02-27,5062.082777777778
Pisos y Muebles,2025-02-28,5062.082777777778
Pisos y Muebles,2025-03-01,5062.082777777778
Pisos y Muebles,2025-03-02,4676.607647058823
Pisos y Muebles,2025-03-03,4676.607647058823
Pisos y Muebles,2025-03-04,4676.607647058823
Pisos y Muebles,2025-03-05,4676.607647058823
Pisos y Muebles,2025-03-06,4676.607647058823
Pisos y Muebles,2025-03-11,4640.094193548387
Pisos y Muebles,2025-03-12,4640.094193548387
Pisos y Muebles,2025-03-13,4661.778125
Ropa,2025-02-10,4164.66
Ropa,2025-02-11,4164.66
Ropa,2025-02-12,4164.66
Ropa,2025-02-13,4164.66
Ropa,2025-02-14,4164.66
Ropa,2025-02-15,4164.66
Ropa,2025-02-16,4164.66
Ropa,2025-02-17,4164.66
Ropa,2025-02-18,4164.66
Ropa,2025-02-19,4164.66
Ropa,2025-02-20,4164.66
Ropa,2025-02-21,4164.66
Ropa,2025-02-22,4164.66
Ropa,2025-02-23,4164.66
Ropa,2025-02-24,4164.66
Ropa,2025-02-25,4164.66
Ropa,2025-02-26,4164.66
Ropa,2025-02-27,4164.66
Ropa,2025-02-28,4164.66
Ropa,2025-03-01,4164.66
Ropa,2025-03-02,4164.66
Ropa,2025-03-03,4164.66
Ropa,2025-03-04,4164.66
Ropa,2025-03-05,4164.66
Ropa,2025-03-06,4164.66
Ropa,2025-03-11,5670.427708333334
Ropa,2025-03-12,5499.069230769231
Ropa,2025-03-13,5379.155806451612
Servilletas y Toallas de Cocina,2025-02-10,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-11,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-12,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-13,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-14,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-15,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-16,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-17,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-18,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-19,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-20,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-21,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-22,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-23,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-24,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-25,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-26,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-27,107334.46333333333
Servilletas y Toallas de Cocina,2025-02-28,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-01,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-02,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-03,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-04,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-05,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-06,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-11,107334.46333333333
Servilletas y Toallas de Cocina,2025-03-12,107334.46333333333
